 Código EAN;Nome do Produto;Categoria;Estoque atual;Giro mensal; Preço de custo ;
7891132005840;CALDO EM PÓ SAZÓN® SABOR CARNES 1,1KG;Food Service;34;4; R$ 17,53 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Buggy 36g;Sal e Reaçador de Sabor;0;3; R$ 4,57 ;
7891132019076;TEMPERO COMPLETO SABOR  A MI® COM PIMENTA 1KG;Temperos e Caldos;44;3; R$ 14,19 ;
7891132009312;EXTRATO DE TOMATE AJINOMOTO® 2KG;Food Service;39;3; R$ 28,94 ;
7891132008438;MOLHO SHOYU SATIS!® PARA LEGUMES E VERDURAS 500ML;Molhos e Azeites;54;3; R$ 12,78 ;
7891132110131;TEMPERO SAZÓN® PROFISSIONAL DE LOURO E TOQUE DE ERVAS 900G;Food Service;32;3; R$ 42,44 ;
7891132019021;TEMPERO SABOR A MI® ALHO E SAL 300G;Temperos e Caldos;85;2; R$ 4,49 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Ace 36g;Sal e Reaçador de Sabor;0;2; R$ 4,57 ;
7891132009404;TEMPERO SAZÓN® PROFISSIONAL TOQUE DE ALECRIM 900G;Food Service;16;2; R$ 35,34 ;
7891132019069;TEMPERO COMPLETO SABOR A MI® SEM PIMENTA 1KG;Temperos e Caldos;28;2; R$ 14,19 ;
7891132019052;TEMPERO SABOR A MI® ALHO E SAL 1KG;Temperos e Caldos;33;2; R$ 14,19 ;
7891132010080;AJI-NO-MOTO® Floppy One Piece Law 36g;Sal e Reaçador de Sabor;0;2; R$ 4,57 ;
7891132011018;AJI-NO-MOTO® FRASCO 100g;Sal e Reaçador de Sabor;756;1; R$ 7,28 ;
7891132060566;HARMONIX®-F REALÇADOR DE SABOR 600G;Food Service;84;1; R$ 17,24 ;
